"2216","感覚器官用薬","カンカクキカンヨウヤク"
"221601","目薬","メグスリ"
"221603","鼻炎用薬","ビエンヨウヤク"
"221605","乗物酔い薬","ノリモノヨイヤク"
"221697","その他の感覚器官用薬","ソノタノカンカクキカンヨウヤ"
"2217","歯科口腔用薬","シカコウクウウヨウヤク"
"221701","口腔咽喉薬","コウクウインコウヤク"
"221703","口内炎用薬","コウナイエンヨウヤク"
"221705","歯痛・歯槽膿漏薬","ハイタ,シソウノウロウヤク"
"221797","その他の歯科口腔用薬","ソノタノシカコウクウヨウヤク"
"2218","肛門用薬","コウモンヨウヤク"
"221801","痔疾用薬","ジシツヨウヤク"
"221897","その他の肛門用薬","ソノタノコウモンヨウヤク"
"2219","外皮用薬","ガイヒヨウヤク"
"221901","外用殺菌消毒薬","ガイヨウサツキンシヨウド"
"221903","化膿性皮膚疾患用薬","カノウセイヒフシツカンヨウヤ"
"221905","にきび治療薬","ニキビチリヨウヤク"
"221907","外用鎮痛・消炎薬(貼付・塗布薬)","ガイヨウチンツウ,シヨウエ"
"221909","外用湿疹・皮膚炎用薬","ガイヨウシツシン,ヒフエン"
"221911","かゆみ・虫さされ用薬","カユミ,ムシササレヨウヤク"
"221913","しもやけ・あかぎれ用薬","シモヤケ,アカギレヨウヤク"
"221915","水虫・たむし用薬","ミズムシ,タムシヨウヤク"
"221917","皮膚軟化薬(乾燥性皮膚用薬)","ヒフナンカヤク(カンソウセイ"
"221919","うおのめ・たこ・いぼ用薬","ウオノメ,タコ,イボヨウヤ"
"221921","発毛・養毛薬","ハツモウ,ヨウモウヤク"
"221923","シラミ駆除用薬","シラミクジヨヨウヤク"
"221925","絆創膏","バンソウコウ"
"221997","その他の外皮用薬","ソノタノヒフヨウヤク"
"2220","女性用薬","ジヨセイヨウヤク"
"222001","女性用保健薬","ジヨセイヨウホケンヤク"
"222003","避妊薬","ヒニンヤク"
"222005","膣カンジタ用薬","ヒニンヤク"
"222097","その他の女性用薬","ソノタノジヨセイヨウヤク"
"2221","ドリンク剤","ドリンクザイ"
"222101","ドリンク剤","ドリンクザイ"
"222103","ミニドリンク剤","ミニドリンクザイ"
"222197","その他のドリンク剤","ソノタノドリンクザイ"
"2222","ビタミン主薬製剤","ビタミンシユヤクセイザイ"
"222201","ビタミンA主薬製剤","ビタミンAシユヤクセイザ"
"222203","ビタミンD主薬製剤","ビタミンDシユヤクセイザ"
"222205","ビタミンE主薬製剤","ビタミンEシユヤクセイザ"
"222207","ビタミンB1主薬製剤","ビタミンB1シユヤクセイサ"
"222209","ビタミンB2主薬製剤","ビタミンB2シユヤクセイサ"
"222211","ビタミンB6主薬製剤","ビタミンB6シユヤクセイサ"
"222213","ビタミンB12主薬製剤","ビタミンB12シユヤクセイ"
"222215","ビタミンC主薬製剤","ビタミンCシユヤクセイザ"
"222217","ビタミンAD主薬製剤","ビタミンADシユヤクセイサ"
"222219","ビタミンB2B6主薬製剤","ビタミンB2B6シユヤクセ"
"222221","ビタミンEC主薬製剤","ビタミンECシユヤクセイサ"
"222223","ビタミンB1B6B12主薬製剤","ビタミンB1B6B12シユ"
"222297","その他のビタミン主薬製剤","ソノタノビタンミンシユヤク"
"2223","ビタミン含有保健薬","ビタミンガンユウホケンヤ"
"222301","ビタミン含有保健薬","ビタミンガンユウホケンヤ"
"222397","その他のビタミン含有保健薬","ソノタノビタミンガンユウ"
"2224","その他の保健薬","ソノタノホケンヤク"
"222401","カルシウム主薬製剤","カルシウムシユヤクセイザイ"
"222403","生薬主薬保健薬","シヨウヤクシユヤクホケンヤク"
"222405","薬用酒","ヤクヨウシユ"
"222497","その他の保健薬","ソノタノホケンヤク"
"2225","禁煙補助薬","キンエンホジヨヤク"
"222501","禁煙補助薬","キンエンホジヨヤク"
"2226","漢方薬・生薬製剤","カンポウヤク,シヨウヤクセ"
"222601","漢方薬1(あ行)","カンポウヤク1(アギヨウ"
"222602","漢方薬2(か行)","カンポウヤク2(カギヨウ"
"222603","漢方薬3(さ行)","カンポウヤク3(サギヨウ"
"222604","漢方薬4(た行)","カンポウヤク4(タギヨウ"
"222605","漢方薬5(な行)","カンポウヤク5(ナギヨウ"
"222606","漢方薬6(は行)","カンポウヤク6(ハギヨウ"
"222607","漢方薬7(ま行)","カンポウヤク7(マギヨウ"
"222608","漢方薬8(や~ら行)","カンポウヤク8(ヤギヨウ"
"222609","生薬製剤","シヨウヤクセイザイ"
"222697","その他の漢方薬・生薬製剤","ソノタノカンポウヤク,シヨ"
"2227","公衆衛生用薬","コウシユウエイセイヨウヤク"
"222701","殺虫薬","サツチユウヤク"
"222703","虫よけ薬","ムシヨケヤク"
"222797","その他の公衆衛生用薬","ソノタノコウシユウエイセイヨ"
"2228","一般用検査薬","イツパンヨウケンサヤク"
"222801","一般用検査薬","イツパンヨウケンサヤク"
"2239","その他のOTC医薬品","ソノタノOTCイヤクヒン"
"223997","その他のOTC医薬品","ソノタノOTCイヤクヒン"
"2241","かぜ関連(指定医薬部外品)","カゼカンレン(シテイイヤク"
"224101","鼻づまり改善(指定医薬部外品)","ハナヅマリカイゼン(シテ"
"224103","のど清涼(指定医薬部外品)","ノドセイリヨウ(シテイイヤ"
"224105","うがい(指定医薬部外品)","ウガイ(シテイイヤクブカ"
